experiment_key,lot_number,family,stage,mae,rmse,mean_error
2024-07-09_05,3,pls,full_map,0.1080565584779059,0.11663264290841419,0.10580500549218641
2024-07-09_06,3,pls,template,0.02251557188130161,0.03786491555635987,-0.015666277729756928
2024-07-09_06,3,pls,mean_shift,0.0827278595364451,0.08962264398948533,-0.08272785953644046
2024-07-09_06,3,pls,full_map,0.08272785953644733,0.10561435539944963,-0.08272785953644757
2024-07-09_07,3,pls,template,0.1021006770383171,0.10812659701975304,0.09968316047249459
2024-07-09_07,3,pls,mean_shift,0.09236035849747713,0.09965563606014015,-0.09042464983211573
2024-07-09_07,3,pls,full_map,0.09042464983212611,0.10669280751970589,-0.09042464983212284
2024-07-09_08,3,pls,template,0.17974720541630573,0.19164827826481448,0.1797472054163194
2024-07-09_08,3,pls,mean_shift,0.09905312979617464,0.10901003134958168,-0.08638971135464857
2024-07-09_08,3,pls,full_map,0.08638971135465712,0.10750228170502865,-0.08638971135465567
2024-07-09_09,3,pls,template,0.25552922788821614,0.2684531937183587,0.25552922788821775
2024-07-09_09,3,pls,mean_shift,0.11833244443212569,0.12778996330489992,-0.09776678274869965
2024-07-09_09,3,pls,full_map,0.09830874917059865,0.11621825227951134,-0.09776678274869255
2024-07-09_10,3,pls,template,0.7088213627196759,0.7141550889292688,0.7088213627196822
2024-07-09_10,3,pls,mean_shift,0.3425305096750514,0.3534358737508742,0.3425305096750506
2024-07-09_10,3,pls,full_map,0.3425305096750495,0.34633698406757485,0.3425305096750506
2024-07-11_01,4,ridge,template,0.6035388792855085,0.6325098245412559,-0.6035388792855088
2024-07-11_01,4,ridge,mean_shift,0.13762489728573793,0.2199036312820324,-0.11201833653032622
2024-07-11_01,4,ridge,full_map,0.11409173733188642,0.16085765516418937,-0.11201833653032622
2024-07-11_02,4,ridge,template,0.6646883174877553,0.6793164976193424,-0.6646883174877516
2024-07-11_02,4,ridge,mean_shift,0.2573594564824796,0.29307718159908736,-0.25735945648247593
2024-07-11_02,4,ridge,full_map,0.25735945648247754,0.27972035348200763,-0.25735945648247593
2024-07-11_03,4,ridge,template,0.6126534860270813,0.6181021717238625,-0.612653486027078
2024-07-11_03,4,ridge,mean_shift,0.13441308007531172,0.1561735384666954,-0.1329818535311773
2024-07-11_03,4,ridge,full_map,0.1373603007709434,0.15616208799446393,-0.1329818535311773
2024-07-11_04,4,ridge,template,0.2891737107461823,0.2952584701774141,-0.2891737107461765
2024-07-11_04,4,ridge,mean_shift,0.17483138846274088,0.1847218005991713,-0.17483138846273505
2024-07-11_04,4,ridge,full_map,0.17483138846273857,0.18601302109261078,-0.17483138846273505
2024-07-11_05,4,ridge,template,0.2230197781619127,0.232276074710211,-0.22301977816191254
2024-07-11_05,4,ridge,mean_shift,0.09325007714383192,0.1047297859971574,-0.08218256897674081
2024-07-11_05,4,ridge,full_map,0.09409843011292013,0.10930848768041994,-0.08218256897674081
2024-07-11_06,4,ridge,template,0.07446054451167024,0.09619571027520199,0.055606064534714505
2024-07-11_06,4,ridge,mean_shift,0.06540057254358304,0.07933937023423046,-0.011539298369179107
2024-07-11_06,4,ridge,full_map,0.05446224319654088,0.06603495820245653,-0.011539298369172002
2024-07-11_07,4,ridge,template,0.4780880870066261,0.492304469808486,0.47808808700662553
2024-07-11_07,4,ridge,mean_shift,0.10379648452712865,0.12248919645884442,-0.034758181675321964
2024-07-11_07,4,ridge,full_map,0.07690783383505481,0.10638279702488064,-0.03475818167531486
