held_out_lot,family,feature,feature_group,sensor_family,importance_metric,importance,coefficient_sign,rank,top_20
1,pls,Stat3_Etch_MV_PlatenRFTuningCapacitor__early_late_delta,G2_temporal_drift,rf_power_matching_electrical,VIP,0.863942472250481,1,104,False
1,pls,Stat3_Etch_MV_PlatenRFTuningCapacitor__long_phase_mean,G3_bosch_phase,rf_power_matching_electrical,VIP,2.4244748093767945,-1,1,True
1,pls,Stat3_Etch_MV_PlatenRFTuningCapacitor__short_phase_mean,G3_bosch_phase,rf_power_matching_electrical,VIP,1.2564106788654847,-1,44,False
1,pls,Stat3_Etch_MV_PlatenRFTuningCapacitor__phase_difference,G3_bosch_phase,rf_power_matching_electrical,VIP,2.130871077479825,-1,7,True
1,pls,Stat3_Etch_MV_PlatenRFTuningCapacitor__cycle_mean_std,G4_cycle_behavior,rf_power_matching_electrical,VIP,0.7830097767779641,1,126,False
1,pls,Stat3_Etch_MV_PlatenRFTuningCapacitor__cycle_mean_slope,G4_cycle_behavior,rf_power_matching_electrical,VIP,0.8299165366401184,1,115,False
1,pls,Stat3_Etch_MV_Pressure__active_mean,G1_level,pressure,VIP,0.3728266630791136,1,209,False
1,pls,Stat3_Etch_MV_Pressure__active_std,G1_level,pressure,VIP,1.869572617797035,-1,13,True
1,pls,Stat3_Etch_MV_Pressure__active_range,G1_level,pressure,VIP,0.7479659840558803,-1,132,False
1,pls,Stat3_Etch_MV_Pressure__active_slope,G2_temporal_drift,pressure,VIP,0.8913570580896638,1,88,False
1,pls,Stat3_Etch_MV_Pressure__early_late_delta,G2_temporal_drift,pressure,VIP,0.5254180475839954,1,179,False
1,pls,Stat3_Etch_MV_Pressure__long_phase_mean,G3_bosch_phase,pressure,VIP,0.21453910652107394,-1,233,False
1,pls,Stat3_Etch_MV_Pressure__short_phase_mean,G3_bosch_phase,pressure,VIP,0.2632229700266375,1,227,False
1,pls,Stat3_Etch_MV_Pressure__phase_difference,G3_bosch_phase,pressure,VIP,0.22897050624260495,-1,230,False
1,pls,Stat3_Etch_MV_Pressure__cycle_mean_std,G4_cycle_behavior,pressure,VIP,0.74214303582628,1,133,False
1,pls,Stat3_Etch_MV_Pressure__cycle_mean_slope,G4_cycle_behavior,pressure,VIP,0.4809489001302802,-1,190,False
1,pls,Stat3_Etch_MV_SourceRF2PeakToPeak__active_mean,G1_level,rf_power_matching_electrical,VIP,0.20098756198637074,1,238,False
1,pls,Stat3_Etch_MV_SourceRF2PeakToPeak__active_std,G1_level,rf_power_matching_electrical,VIP,0.22758110336443785,1,231,False
1,pls,Stat3_Etch_MV_SourceRF2PeakToPeak__active_slope,G2_temporal_drift,rf_power_matching_electrical,VIP,0.3991514154466391,1,205,False
1,pls,Stat3_Etch_MV_SourceRF2PeakToPeak__early_late_delta,G2_temporal_drift,rf_power_matching_electrical,VIP,0.3315779481288576,-1,217,False
1,pls,Stat3_Etch_MV_SourceRF2PeakToPeak__long_phase_mean,G3_bosch_phase,rf_power_matching_electrical,VIP,0.202627212594675,1,235,False
1,pls,Stat3_Etch_MV_SourceRF2PeakToPeak__phase_difference,G3_bosch_phase,rf_power_matching_electrical,VIP,0.202627212594675,1,236,False
