experiment_key,test_lot,calibration_lot,nominal_coverage,X,Y,observed,predicted,absolute_error,point_half_width,point_covered,simultaneous_half_width,simultaneous_map_covered
2024-07-11_02,4,3,0.8,76000.0,-19000.0,43.7142,42.81547186552974,0.8987281344702609,0.4804133729474529,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,95000.0,-19000.0,51.9325,50.48648999813535,1.44601000186465,2.634390738119265,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-95000.0,0.0,51.3278,50.47861541085829,0.8491845891417142,0.6614351708015462,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-76000.0,0.0,43.1678,42.69057151971519,0.4772284802848077,0.5124110309307994,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-57000.0,0.0,41.8068,41.38073070835236,0.42606929164764296,0.34614366206186986,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-38000.0,0.0,42.0164,41.57194174074632,0.444458259253679,0.4176892227225224,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,0.0,42.4628,41.97226442712957,0.4905355728704279,0.5209486835909374,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,0.0,42.6704,42.117769942608284,0.5526300573917169,0.5095120603356165,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,0.0,42.4342,41.83688339730258,0.5973166026974184,0.4917842350500692,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,38000.0,0.0,41.9703,41.31034681796361,0.6599531820363893,0.48114826059054394,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,57000.0,0.0,41.7161,40.986834944129896,0.7292650558701013,0.48067314293945884,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,76000.0,0.0,42.9893,42.125612992422234,0.8636870075777665,0.4875268651894942,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,95000.0,0.0,50.9251,49.66019423386147,1.2649057661385328,0.7385075568427553,False,2.634390738119265,True
