experiment_key,lot_number,family,stage,mae,rmse,mean_shift_absolute_error,residual_profile_mae,residual_profile_rmse
2024-07-19_03,5,ridge,mean_shift,0.10339218808722737,0.11110505301482562,0.09959498488864403,0.034085121989907485,0.04924603324591717
2024-07-19_03,5,ridge,full_map,0.10158101858946486,0.116808773495221,0.09959498488863891,0.044338706706715886,0.06103383119622779
2024-07-19_04,5,ridge,template,0.3706997118985877,0.38859898723089475,0.3706997118985877,0.0947807826647123,0.11658000032244457
2024-07-19_04,5,ridge,mean_shift,0.17241051441406038,0.20812563983253504,0.17241051441406038,0.09478078266471014,0.11658000032244457
2024-07-19_04,5,ridge,full_map,0.1816242862898724,0.20706649803531926,0.17241051441405592,0.08150823869776726,0.11467845973892171
2024-07-19_05,5,ridge,template,0.22371953327571312,0.25421046349624776,0.22371319504465537,0.09650209666611671,0.12072848095577568
2024-07-19_05,5,ridge,mean_shift,0.14477507425311498,0.18711277243042304,0.14295392087211245,0.09650209666611671,0.12072848095577568
2024-07-19_05,5,ridge,full_map,0.1475705386574459,0.17808157135757777,0.14295392087210756,0.08064008702822976,0.10619426803964171
2024-07-19_06,5,ridge,template,0.35289072313454306,0.38015920390759445,0.35289072313454306,0.1127618560205131,0.14138301822084312
2024-07-19_06,5,ridge,mean_shift,0.20237892976467034,0.2468732246598011,0.20237892976467034,0.11276185602051142,0.1413830182208431
2024-07-19_06,5,ridge,full_map,0.2023789297646658,0.22900992709141452,0.2023789297646658,0.08440244008354059,0.10718355981083792
2024-07-19_07,5,ridge,template,0.4546379141457789,0.47943811739804987,0.4546379141457789,0.12347317193180278,0.15220143046424262
2024-07-19_07,5,ridge,mean_shift,0.12625629692943866,0.15274632884656988,0.012890521352636821,0.12347317193180159,0.15220143046424262
2024-07-19_07,5,ridge,full_map,0.0686425730123167,0.0855020278716176,0.012890521352640813,0.06424980263404238,0.08452473738152629
2024-07-19_08,5,ridge,template,0.5120738692019584,0.5363628616758322,0.5120738692019584,0.1297764261829167,0.1595790458225123
2024-07-19_08,5,ridge,mean_shift,0.15103118385964429,0.21338196653012695,0.1416558921282159,0.1297764261829167,0.1595790458225123
2024-07-19_08,5,ridge,full_map,0.14204247593216981,0.18217086263021026,0.14165589212821125,0.09297990258267953,0.11454183260623829
2024-07-19_09,5,ridge,template,0.44858398156150947,0.48884623828577684,0.44858398156150947,0.15908012974274985,0.19427572203591958
2024-07-19_09,5,ridge,mean_shift,0.23545963443215787,0.3052610286615429,0.23545963443215787,0.15908012974274985,0.19427572203591958
2024-07-19_09,5,ridge,full_map,0.23545963443215331,0.26695142762601703,0.23545963443215331,0.102083574646387,0.12578483718097877
2024-07-19_10,5,ridge,template,0.6554749927974642,0.6833162087325146,0.6554749927974642,0.1578220310178408,0.19306365513410775
2024-07-19_10,5,ridge,mean_shift,0.17306673699831632,0.2471506555227392,0.15430447690063312,0.1578220310178408,0.19306365513410775
2024-07-19_10,5,ridge,full_map,0.15446382022582017,0.19889690300337104,0.15430447690062848,0.10017339337714663,0.12549942801764397
2024-07-19_01,5,pls,template,0.5911991645059064,0.6351513075563439,0.5911991645059064,0.16409534991373195,0.23216531045367553
2024-07-19_01,5,pls,mean_shift,0.15136076572297663,0.26906916079404375,0.13600544809807957,0.16409534991373476,0.23216531045367553
2024-07-19_01,5,pls,full_map,0.13969490689514677,0.21811135089587627,0.13600544809808485,0.0966429271322764,0.17051416210175388
