experiment_key,lot_number,family,stage,mae,rmse,mean_error,mean_predicted_std
2024-07-05_04,2,physics_constrained_oes_v2,mean_shift,0.34363829342661506,0.3561777988889653,0.34052802996582443,
2024-07-05_04,2,physics_constrained_oes_v2,full_map,0.36075396141948796,0.3703943807513189,0.3405280299658173,
2024-07-05_05,2,physics_constrained_oes_v2,template,0.08218454087562983,0.12437136926970559,0.054135025184038454,
2024-07-05_05,2,physics_constrained_oes_v2,mean_shift,0.12876682033878592,0.1641899407987624,0.12008621951396492,
2024-07-05_05,2,physics_constrained_oes_v2,full_map,0.16338070346115768,0.2803397616191756,0.12008621951396492,
2024-07-05_06,2,physics_constrained_oes_v2,template,0.18825048430840854,0.22426683508121772,0.18157547462224244,
2024-07-05_06,2,physics_constrained_oes_v2,mean_shift,0.23743721641548615,0.266646384175603,0.23189293620304596,
2024-07-05_06,2,physics_constrained_oes_v2,full_map,0.2318929362030434,0.28517479266843004,0.23189293620303886,
2024-07-05_07,2,physics_constrained_oes_v2,template,0.3038752034095322,0.32871649577701567,0.29780244091437424,
2024-07-05_07,2,physics_constrained_oes_v2,mean_shift,0.3321878729953098,0.3551679098091667,0.32676597646764094,
2024-07-05_07,2,physics_constrained_oes_v2,full_map,0.32676597646764205,0.38987427076359954,0.32676597646764094,
2024-07-05_08,2,physics_constrained_oes_v2,template,0.6308822161952741,0.6489827734368402,0.6308822161952747,
2024-07-05_08,2,physics_constrained_oes_v2,mean_shift,0.8306276329393889,0.8444575383693397,0.8306276329393896,
2024-07-05_08,2,physics_constrained_oes_v2,full_map,0.8540402555503193,0.8588580453112679,0.8306276329393896,
2024-07-05_09,2,physics_constrained_oes_v2,template,0.40776172026346436,0.4294604748860744,0.40596311507168537,
2024-07-05_09,2,physics_constrained_oes_v2,mean_shift,0.4886955330491958,0.5083832931095489,0.48869553304921,
2024-07-05_09,2,physics_constrained_oes_v2,full_map,0.4886955330491957,0.533744114819997,0.4886955330491958,
2024-07-05_10,2,physics_constrained_oes_v2,template,0.48765048430840807,0.5128499885845701,0.4875889577683168,
2024-07-05_10,2,physics_constrained_oes_v2,mean_shift,0.4620270162436841,0.48799625260530616,0.46137644446073267,
2024-07-05_10,2,physics_constrained_oes_v2,full_map,0.46137644446071524,0.5003509982422645,0.46137644446072557,
2024-07-11_01,4,physics_constrained_oes_v2,template,0.6260715614103052,0.6559206571840485,-0.6260715614103063,
2024-07-11_01,4,physics_constrained_oes_v2,mean_shift,0.7105434709779022,0.7369791941862005,-0.7105434709779104,
2024-07-11_01,4,physics_constrained_oes_v2,full_map,0.7119573192977644,0.7290738712457489,-0.7105434709779104,
2024-07-11_02,4,physics_constrained_oes_v2,template,0.6872209996125519,0.703056092834327,-0.6872209996125491,
2024-07-11_02,4,physics_constrained_oes_v2,mean_shift,0.526908985613079,0.5474013577648477,-0.5269089856130762,
2024-07-11_02,4,physics_constrained_oes_v2,full_map,0.5269089856130839,0.538508720274795,-0.5269089856130833,
2024-07-11_03,4,physics_constrained_oes_v2,template,0.635186168151878,0.6423271820495496,-0.6351861681518756,
2024-07-11_03,4,physics_constrained_oes_v2,mean_shift,0.715311741785096,0.7216603276638376,-0.7153117417850936,
2024-07-11_03,4,physics_constrained_oes_v2,full_map,0.7153117417851005,0.7179559410867029,-0.7153117417851078,
2024-07-11_04,4,physics_constrained_oes_v2,template,0.31170639287097895,0.32002495019818056,-0.311706392870974,
2024-07-11_04,4,physics_constrained_oes_v2,mean_shift,0.28488116060517893,0.29395980858012655,-0.284881160605174,
2024-07-11_04,4,physics_constrained_oes_v2,full_map,0.28488116060518326,0.28758710287634376,-0.2848811606051811,
2024-07-11_05,4,physics_constrained_oes_v2,template,0.24555246028670935,0.256403305842241,-0.24555246028671007,
2024-07-11_05,4,physics_constrained_oes_v2,mean_shift,0.2938782212766064,0.30300338848711883,-0.2938782212766142,
2024-07-11_05,4,physics_constrained_oes_v2,full_map,0.29387822127661145,0.3292666721418602,-0.2938782212766142,
2024-07-11_06,4,physics_constrained_oes_v2,template,0.059347772181325247,0.08530576306871113,0.033073382409916974,
2024-07-11_06,4,physics_constrained_oes_v2,mean_shift,0.053678817286526265,0.07869614104476277,-0.0031397494541636206,
2024-07-11_06,4,physics_constrained_oes_v2,full_map,0.05463826376708481,0.07177615661242653,-0.003139749454170726,
2024-07-11_07,4,physics_constrained_oes_v2,template,0.4559682681131351,0.46998102503680056,0.455555404881828,
2024-07-11_07,4,physics_constrained_oes_v2,mean_shift,0.44831652749209233,0.4623976492177548,0.44772776217754284,
2024-07-11_07,4,physics_constrained_oes_v2,full_map,0.48299973538612523,0.5007000209529714,0.44772776217754284,
2024-07-11_08,4,physics_constrained_oes_v2,template,0.5299509104998072,0.5418682394491311,0.5299509104998066,
2024-07-11_08,4,physics_constrained_oes_v2,mean_shift,0.5534573838462016,0.5648790110439649,0.5534573838462009,
2024-07-11_08,4,physics_constrained_oes_v2,full_map,0.6016374012684936,0.6251152917054096,0.5534573838461867,
2024-07-11_09,4,physics_constrained_oes_v2,template,0.7207767531964365,0.7302913859553926,0.7207767531964322,
2024-07-11_09,4,physics_constrained_oes_v2,mean_shift,0.793447924365101,0.8021009843726279,0.7934479243650898,
2024-07-11_09,4,physics_constrained_oes_v2,full_map,0.7934479243650965,0.8022290277583457,0.7934479243650898,
2024-07-11_10,4,physics_constrained_oes_v2,template,0.24994916698954012,0.27947915099274295,0.24522394420766602,
2024-07-11_10,4,physics_constrained_oes_v2,mean_shift,0.20285845117530507,0.23833334801775455,0.19705068320229913,
2024-07-11_10,4,physics_constrained_oes_v2,full_map,0.21745591420179683,0.2520944099300791,0.19705068320229202,
2024-08-01_01,6,physics_constrained_oes_v2,template,0.0951956605966675,0.14647924760350872,-0.07597969779155278,
2024-08-01_01,6,physics_constrained_oes_v2,mean_shift,0.0747448312205995,0.12528771133937638,-0.003708788301395316,
2024-08-01_01,6,physics_constrained_oes_v2,full_map,0.10976993728651627,0.15339602276821745,-0.0037087883014024214,
2024-08-01_02,6,physics_constrained_oes_v2,template,0.5155437427353728,0.5300074903210228,-0.5155437427353746,
2024-08-01_02,6,physics_constrained_oes_v2,mean_shift,0.5548039204561928,0.5682692841218451,-0.5548039204561874,
2024-08-01_02,6,physics_constrained_oes_v2,full_map,0.5548039204561948,0.563383246452329,-0.5548039204561874,
2024-08-01_03,6,physics_constrained_oes_v2,template,0.3906830685780697,0.3985194639850416,-0.39068306857807045,
2024-08-01_03,6,physics_constrained_oes_v2,mean_shift,0.5033879406274402,0.5094937898252375,-0.5033879406274337,
2024-08-01_03,6,physics_constrained_oes_v2,full_map,0.5033879406274423,0.5047650585271034,-0.5033879406274409,
2024-08-01_04,6,physics_constrained_oes_v2,template,0.21687070902750796,0.2220901694464978,-0.2168707090275106,
2024-08-01_04,6,physics_constrained_oes_v2,mean_shift,0.22636583977566452,0.23137120034270015,-0.22636583977566715,
2024-08-01_04,6,physics_constrained_oes_v2,full_map,0.22636583977566635,0.22852151393961934,-0.22636583977566715,
2024-08-01_05,6,physics_constrained_oes_v2,template,0.02083332041844092,0.02788458817073685,-0.013984192173573717,
2024-08-01_05,6,physics_constrained_oes_v2,mean_shift,0.12406712010322826,0.12639083399286907,-0.12406712010322707,
2024-08-01_05,6,physics_constrained_oes_v2,full_map,0.12854998992918817,0.13717390057975082,-0.12406712010322707,
2024-08-01_06,6,physics_constrained_oes_v2,template,0.44784839209608784,0.4530238905002697,0.4478483920960912,
2024-08-01_06,6,physics_constrained_oes_v2,mean_shift,0.4046250806217595,0.4103460965198944,0.40462508062176994,
2024-08-01_06,6,physics_constrained_oes_v2,full_map,0.4046250806217574,0.40740705015816486,0.40462508062176283,
2024-08-01_07,6,physics_constrained_oes_v2,template,0.7362731111972111,1.8312969879874035,0.7362731111972067,
2024-08-01_07,6,physics_constrained_oes_v2,mean_shift,0.7235306348690687,1.8262111442913036,0.7235306348690642,
2024-08-01_07,6,physics_constrained_oes_v2,full_map,0.7235306348690668,1.824460828979043,0.7235306348690642,
2024-08-01_08,6,physics_constrained_oes_v2,template,0.38576636962417776,0.3977470360297743,0.38576636962417155,
2024-08-01_08,6,physics_constrained_oes_v2,mean_shift,0.4204801780579066,0.43149807980692295,0.4204801780579075,
2024-08-01_08,6,physics_constrained_oes_v2,full_map,0.4204801780579049,0.4286740219928068,0.4204801780579075,
2024-08-01_09,6,physics_constrained_oes_v2,template,0.4784135606354135,0.4965575257501496,0.47841356063541696,
2024-08-01_09,6,physics_constrained_oes_v2,mean_shift,0.3624260103050895,0.3860601693064447,0.3624260103050929,
2024-08-01_09,6,physics_constrained_oes_v2,full_map,0.36242601030508786,0.38094498100914015,0.3624260103050929,
2024-08-01_10,6,physics_constrained_oes_v2,template,0.5100708640061997,0.5221130135709444,0.5100708640061953,
2024-08-01_10,6,physics_constrained_oes_v2,mean_shift,0.4243780678934543,0.4387783690441946,0.4243780678934499,
2024-08-01_10,6,physics_constrained_oes_v2,full_map,0.4243780678934523,0.4272524869589579,0.4243780678934499,
