experiment_key,lot_number,family,stage,mae,rmse,mean_error,mean_predicted_std
2024-07-05_09,2,gpr,full_map,0.0751599191915213,0.11072807497141564,0.0624542673917432,0.1889568630687133
2024-07-05_10,2,gpr,template,0.4903276289253811,0.5117775051507701,0.4903276289253924,
2024-07-05_10,2,gpr,mean_shift,0.14943532845493207,0.2068036029901192,0.14585163392618483,0.12366324891349414
2024-07-05_10,2,gpr,full_map,0.1458516339261675,0.17258117932510952,0.14585163392617773,0.17806777087433587
2024-07-09_01,3,ridge,template,0.5841281042927114,0.6234476144965109,-0.5784258282915573,
2024-07-09_01,3,ridge,mean_shift,0.15847012641581654,0.2345431546107161,-0.030000036468862845,
2024-07-09_01,3,ridge,full_map,0.08181621015717594,0.14827367263136718,-0.030000036468862845,
2024-07-09_02,3,ridge,template,0.5492742005185824,1.2726243555641892,-0.2971033563814416,
2024-07-09_02,3,ridge,mean_shift,0.32575859744889873,1.2684359041372424,0.27861675632024685,
2024-07-09_02,3,ridge,full_map,0.29082890971168585,1.2753495991836141,0.27861675632024685,
2024-07-09_03,3,ridge,template,0.567262906943245,0.5815672846945394,-0.5672629069432418,
2024-07-09_03,3,ridge,mean_shift,0.09891828460541487,0.13009324949201295,-0.022157448637251775,
2024-07-09_03,3,ridge,full_map,0.0870392117461977,0.12269609305377073,-0.022157448637251775,
2024-07-09_04,3,ridge,template,0.3734651541342567,0.383855915379579,-0.3734651541342586,
2024-07-09_04,3,ridge,mean_shift,0.0670705986662915,0.08906446279713212,-0.00795839895779693,
2024-07-09_04,3,ridge,full_map,0.04423362535782089,0.06989562274809644,-0.00795839895779693,
2024-07-09_05,3,ridge,template,0.27794605301066067,0.2829198084437817,-0.2779460530106519,
2024-07-09_05,3,ridge,mean_shift,0.0594159154106123,0.07161993279358489,0.04837153241005154,
2024-07-09_05,3,ridge,full_map,0.06671472397582709,0.09352878054992789,0.04837153241004444,
2024-07-09_06,3,ridge,template,0.02251557188130161,0.03786491555635987,-0.015666277729756928,
2024-07-09_06,3,ridge,mean_shift,0.16575047495045434,0.1692971928842455,-0.1657504749504497,
2024-07-09_06,3,ridge,full_map,0.16575047495045656,0.17557181644051123,-0.1657504749504568,
2024-07-09_07,3,ridge,template,0.1021006770383171,0.10812659701975304,0.09968316047249459,
2024-07-09_07,3,ridge,mean_shift,0.10844035228797758,0.1161860338272628,-0.1083723486652417,
2024-07-09_07,3,ridge,full_map,0.10837234866524513,0.11738218025095437,-0.1083723486652417,
2024-07-09_08,3,ridge,template,0.17974720541630573,0.19164827826481448,0.1797472054163194,
2024-07-09_08,3,ridge,mean_shift,0.11219909575780575,0.1228174519191116,-0.10326723482792488,
2024-07-09_08,3,ridge,full_map,0.10326723482793335,0.1180359434920981,-0.10326723482792488,
2024-07-09_09,3,ridge,template,0.25552922788821614,0.2684531937183587,0.25552922788821775,
2024-07-09_09,3,ridge,mean_shift,0.17471555996285176,0.18645750786751314,-0.16731548442307087,
2024-07-09_09,3,ridge,full_map,0.16743772398727247,0.18369322217841808,-0.16731548442307087,
2024-07-09_10,3,ridge,template,0.7088213627196759,0.7141550889292688,0.7088213627196822,
2024-07-09_10,3,ridge,mean_shift,0.37169939818527176,0.3817724576329291,0.371699398185271,
2024-07-09_10,3,ridge,full_map,0.37169939818526987,0.37574289978884107,0.371699398185271,
2024-07-09_01,3,pls,template,0.5841281042927114,0.6234476144965109,-0.5784258282915573,
2024-07-09_01,3,pls,mean_shift,0.2611577144758428,0.2900179386346553,0.17320483695117161,
2024-07-09_01,3,pls,full_map,0.1732048369511666,0.24029410220457087,0.1732048369511645,
2024-07-09_02,3,pls,template,0.5492742005185824,1.2726243555641892,-0.2971033563814416,
2024-07-09_02,3,pls,mean_shift,0.24759598433983246,1.23941619596687,0.06964309601776364,
2024-07-09_02,3,pls,full_map,0.201178856702194,1.2499899696620262,0.06964309601776364,
2024-07-09_03,3,pls,template,0.567262906943245,0.5815672846945394,-0.5672629069432418,
2024-07-09_03,3,pls,mean_shift,0.16410592467084548,0.20824037923839855,-0.1641059246708494,
2024-07-09_03,3,pls,full_map,0.1641059246708474,0.19524951199545357,-0.1641059246708494,
2024-07-09_04,3,pls,template,0.3734651541342567,0.383855915379579,-0.3734651541342586,
