experiment_key,samples,median_step_seconds,maximum_gap_seconds,active_maximum_gap_seconds,active_duration_seconds,detected_cycles,long_phase_sample_fraction,short_phase_sample_fraction
2024-08-07_01,3299.0,0.20000004768371582,41.90000009536743,0.20000004768371582,595.0,99.0,0.7335349462365591,0.2664650537634409
2024-08-07_02,3298.0,0.20000004768371582,41.75999999046326,0.20000004768371582,594.7999999523163,99.0,0.7357983193277311,0.2642016806722689
2024-08-07_03,3298.0,0.20000004768371582,41.74000000953674,0.21000003814697266,594.8000001907349,99.0,0.7314285714285714,0.26857142857142857
2024-08-07_04,3247.0,0.20000004768371582,41.730000019073486,0.21000003814697266,598.0099999904633,100.0,0.7301905717151455,0.26980942828485455
2024-08-07_05,3247.0,0.20000004768371582,41.67999982833862,0.20000004768371582,598.0,100.0,0.7355399531929121,0.26446004680708796
2024-08-07_06,3246.0,0.20000004768371582,41.94000005722046,0.21000003814697266,597.8100001811981,100.0,0.7347826086956522,0.26521739130434785
2024-08-07_07,3246.0,0.20000004768371582,41.87000012397766,0.20000004768371582,598.0,100.0,0.7348712805081913,0.2651287194918088
2024-08-07_08,3835.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,602.0,100.0,0.7326469611424776,0.26735303885752243
2024-08-07_09,3246.0,0.20000004768371582,41.86999988555908,0.20000004768371582,598.0,100.0,0.7362086258776329,0.2637913741223671
2024-08-07_10,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.73386827148111,0.26613172851889
2024-08-21_01,3245.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,597.7999999523163,100.0,0.731438127090301,0.268561872909699
2024-08-21_02,3245.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,597.7999999523163,100.0,0.7337792642140468,0.2662207357859532
2024-08-21_03,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7321965897693079,0.2678034102306921
2024-08-21_04,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7352056168505516,0.26479438314944836
2024-08-21_05,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7318622534269476,0.2681377465730525
2024-08-21_06,3298.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,595.0,99.0,0.7325268817204301,0.2674731182795699
2024-08-21_07,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7328652624540287,0.2671347375459712
2024-08-21_08,3245.0,0.20000004768371582,0.21000003814697266,0.21000003814697266,598.0,100.0,0.7335339351387495,0.2664660648612504
2024-08-21_09,3193.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,602.2000000476837,100.0,0.7327357237715804,0.26726427622841964
2024-08-21_10,3245.0,0.20000004768371582,0.21000003814697266,0.21000003814697266,598.0099999904633,100.0,0.7348712805081913,0.2651287194918088
2024-08-22_01,3194.0,0.20000004768371582,0.21000003814697266,0.21000003814697266,602.0,100.0,0.7313184988375955,0.2686815011624045
2024-08-22_02,3298.0,0.20000004768371582,0.21000003814697266,0.21000003814697266,595.0,99.0,0.7328629032258065,0.26713709677419356
2024-08-22_03,3245.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7335339351387495,0.2664660648612504
2024-08-22_04,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7321965897693079,0.2678034102306921
2024-08-22_05,3297.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,594.7999999523163,99.0,0.7304201680672269,0.26957983193277313
2024-08-22_06,3298.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,595.0,99.0,0.7311827956989247,0.26881720430107525
2024-08-22_07,3299.0,0.20000004768371582,0.21000003814697266,0.21000003814697266,595.0,99.0,0.7328629032258065,0.26713709677419356
2024-08-22_08,3193.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,602.0,100.0,0.7313184988375955,0.2686815011624045
2024-08-22_09,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7352056168505516,0.26479438314944836
2024-08-22_10,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7348712805081913,0.2651287194918088
