stage,X,Y,coordinate_mae
oracle_true_mean_zero_residual,-76000.0,-19000.0,0.06969696396764334
oracle_true_mean_zero_residual,-76000.0,0.0,0.06628010663680627
oracle_true_mean_zero_residual,-76000.0,19000.0,0.06900110767752347
oracle_true_mean_zero_residual,-76000.0,38000.0,0.10612314894001171
oracle_true_mean_zero_residual,-76000.0,57000.0,0.2372089711170626
oracle_true_mean_zero_residual,-57000.0,-76000.0,0.1405585360885796
oracle_true_mean_zero_residual,-57000.0,-57000.0,0.06024338152362787
oracle_true_mean_zero_residual,-57000.0,-38000.0,0.0640954758170874
oracle_true_mean_zero_residual,-57000.0,-19000.0,0.06671132854013698
oracle_true_mean_zero_residual,-57000.0,0.0,0.06383357992974
oracle_true_mean_zero_residual,-57000.0,19000.0,0.05474654638667948
oracle_true_mean_zero_residual,-57000.0,38000.0,0.051252805753758596
oracle_true_mean_zero_residual,-57000.0,57000.0,0.0814676562258874
oracle_true_mean_zero_residual,-57000.0,76000.0,0.23155224468794489
oracle_true_mean_zero_residual,-38000.0,-76000.0,0.042274480403052615
oracle_true_mean_zero_residual,-38000.0,-57000.0,0.06141031701462256
oracle_true_mean_zero_residual,-38000.0,-38000.0,0.07497192627465674
oracle_true_mean_zero_residual,-38000.0,-19000.0,0.08008820709110993
oracle_true_mean_zero_residual,-38000.0,0.0,0.07846215469864205
oracle_true_mean_zero_residual,-38000.0,19000.0,0.06860801448468455
oracle_true_mean_zero_residual,-38000.0,38000.0,0.057742698600429083
oracle_true_mean_zero_residual,-38000.0,57000.0,0.044575312836237835
oracle_true_mean_zero_residual,-38000.0,76000.0,0.0961089969798028
oracle_true_mean_zero_residual,-19000.0,-95000.0,0.15104534721222976
oracle_true_mean_zero_residual,-19000.0,-76000.0,0.04468512686437749
oracle_true_mean_zero_residual,-19000.0,-57000.0,0.07279393476847656
oracle_true_mean_zero_residual,-19000.0,-38000.0,0.08312734977178447
oracle_true_mean_zero_residual,-19000.0,-19000.0,0.08570631094596254
oracle_true_mean_zero_residual,-19000.0,0.0,0.08705367944943115
oracle_true_mean_zero_residual,-19000.0,19000.0,0.07654057207311737
oracle_true_mean_zero_residual,-19000.0,38000.0,0.06432435540501778
oracle_true_mean_zero_residual,-19000.0,57000.0,0.04672971166259918
oracle_true_mean_zero_residual,-19000.0,76000.0,0.04845506315014913
oracle_true_mean_zero_residual,-19000.0,95000.0,0.18875287393768103
oracle_true_mean_zero_residual,0.0,-95000.0,0.08277393462035108
oracle_true_mean_zero_residual,0.0,-76000.0,0.05463635413056991
oracle_true_mean_zero_residual,0.0,-57000.0,0.07801549905139242
oracle_true_mean_zero_residual,0.0,-38000.0,0.08762662966330166
oracle_true_mean_zero_residual,0.0,-19000.0,0.08868048438192408
oracle_true_mean_zero_residual,0.0,0.0,0.0906497514509614
oracle_true_mean_zero_residual,0.0,19000.0,0.08221423279211476
oracle_true_mean_zero_residual,0.0,38000.0,0.06889669422989154
oracle_true_mean_zero_residual,0.0,57000.0,0.04815100687192702
oracle_true_mean_zero_residual,0.0,76000.0,0.02834322310798587
oracle_true_mean_zero_residual,0.0,95000.0,0.19897311240530294
oracle_true_mean_zero_residual,19000.0,-95000.0,0.17487063668151
oracle_true_mean_zero_residual,19000.0,-76000.0,0.06430814775468113
oracle_true_mean_zero_residual,19000.0,-57000.0,0.0883460163221907
oracle_true_mean_zero_residual,19000.0,-38000.0,0.09491192161718022
oracle_true_mean_zero_residual,19000.0,-19000.0,0.0972824795951548
oracle_true_mean_zero_residual,19000.0,0.0,0.09598586091349146
oracle_true_mean_zero_residual,19000.0,19000.0,0.08858775137534773
oracle_true_mean_zero_residual,19000.0,38000.0,0.07047404493141261
oracle_true_mean_zero_residual,19000.0,57000.0,0.04757045387674799
oracle_true_mean_zero_residual,19000.0,76000.0,0.02468019581652723
oracle_true_mean_zero_residual,19000.0,95000.0,0.20022656834289723
oracle_true_mean_zero_residual,38000.0,-76000.0,0.06386189906422292
oracle_true_mean_zero_residual,38000.0,-57000.0,0.08930485160296442
oracle_true_mean_zero_residual,38000.0,-38000.0,0.10001614407347681
oracle_true_mean_zero_residual,38000.0,-19000.0,0.09952297069840975
oracle_true_mean_zero_residual,38000.0,0.0,0.09579368793570749
oracle_true_mean_zero_residual,38000.0,19000.0,0.08602203235298775
oracle_true_mean_zero_residual,38000.0,38000.0,0.06909750406924099
oracle_true_mean_zero_residual,38000.0,57000.0,0.043060321435633965
oracle_true_mean_zero_residual,38000.0,76000.0,0.0503532344735633
oracle_true_mean_zero_residual,57000.0,-76000.0,0.09127160451844261
oracle_true_mean_zero_residual,57000.0,-57000.0,0.08136368688084565
oracle_true_mean_zero_residual,57000.0,-38000.0,0.09216674616747947
oracle_true_mean_zero_residual,57000.0,-19000.0,0.09474777559689183
oracle_true_mean_zero_residual,57000.0,0.0,0.08899412271809724
oracle_true_mean_zero_residual,57000.0,19000.0,0.07781098666013078
oracle_true_mean_zero_residual,57000.0,38000.0,0.06383876657561319
oracle_true_mean_zero_residual,57000.0,57000.0,0.04392653369725818
oracle_true_mean_zero_residual,57000.0,76000.0,0.1723035984738984
oracle_true_mean_zero_residual,76000.0,-57000.0,0.10524530093017793
oracle_true_mean_zero_residual,76000.0,-38000.0,0.07686396978934251
oracle_true_mean_zero_residual,76000.0,-19000.0,0.07886366036221917
oracle_true_mean_zero_residual,76000.0,0.0,0.07281670313016697
oracle_true_mean_zero_residual,76000.0,19000.0,0.0605196980727305
oracle_true_mean_zero_residual,76000.0,38000.0,0.05729135585803698
oracle_true_mean_zero_residual,76000.0,57000.0,0.15403072349447014
oracle_true_mean_zero_residual,95000.0,-19000.0,0.3482928011246985
oracle_true_mean_zero_residual,95000.0,0.0,0.1248536431277213
oracle_true_mean_zero_residual,95000.0,19000.0,0.23070729550548305
template,-95000.0,-19000.0,0.4489164862435075
template,-95000.0,0.0,0.5421372262668387
template,-95000.0,19000.0,0.4575325250698663
template,-76000.0,-57000.0,0.49440164634943073
template,-76000.0,-38000.0,0.6025151837086956
template,-76000.0,-19000.0,0.3725336599581846
template,-76000.0,0.0,0.36877268247343814
template,-76000.0,19000.0,0.38432912938276137
template,-76000.0,38000.0,0.43124901602591115
template,-76000.0,57000.0,0.5587606463683993
template,-57000.0,-76000.0,0.46744617919000786
template,-57000.0,-57000.0,0.3545614108992263
template,-57000.0,-38000.0,0.32467170435050097
template,-57000.0,-19000.0,0.3124226508196442
template,-57000.0,0.0,0.3113372310179265
template,-57000.0,19000.0,0.32078229227163674
template,-57000.0,38000.0,0.3470690682696434
template,-57000.0,57000.0,0.4000173927903939
template,-57000.0,76000.0,0.5527539741903676
template,-38000.0,-76000.0,0.35604159938163116
template,-38000.0,-57000.0,0.3074343847608102
template,-38000.0,-38000.0,0.2900158731563804
template,-38000.0,-19000.0,0.2834080923296115
template,-38000.0,0.0,0.28258478278050947
template,-38000.0,19000.0,0.29307536382394095
template,-38000.0,38000.0,0.30802097222397945
template,-38000.0,57000.0,0.34140022452591173
template,-38000.0,76000.0,0.4208254495555901
template,-19000.0,-95000.0,0.474760870182355
template,-19000.0,-76000.0,0.31736917533942965
template,-19000.0,-57000.0,0.2848937751067507
template,-19000.0,-38000.0,0.27314517265435073
template,-19000.0,-19000.0,0.26845353048849974
template,-19000.0,0.0,0.26855839988071145
template,-19000.0,19000.0,0.2784670079393177
template,-19000.0,38000.0,0.2914818840969153
template,-19000.0,57000.0,0.3172399287087309
template,-19000.0,76000.0,0.3739605428494009
template,-19000.0,95000.0,0.49434779798260836
template,0.0,-95000.0,0.41244313987700104
template,0.0,-76000.0,0.30315860252616494
template,0.0,-57000.0,0.27677070519143304
template,0.0,-38000.0,0.26542017449849875
template,0.0,-19000.0,0.2643886896858414
template,0.0,0.0,0.26469983502784183
template,0.0,19000.0,0.2687951374574793
template,0.0,38000.0,0.28044183448408116
template,0.0,57000.0,0.3029796267255431
template,0.0,76000.0,0.35584659924180895
template,0.0,95000.0,0.5164172538701908
template,19000.0,-95000.0,0.4908171310229877
template,19000.0,-76000.0,0.29954156107605406
template,19000.0,-57000.0,0.2732573126240849
template,19000.0,-38000.0,0.26283103736980296
template,19000.0,-19000.0,0.26014786879786816
template,19000.0,0.0,0.25711393848767156
template,19000.0,19000.0,0.26287828279315806
template,19000.0,38000.0,0.2783666277288113
template,19000.0,57000.0,0.30234471428668996
