experiment_key,lot_number,stage,full_map_mae,full_map_rmse,mean_shift_absolute_error,mean_centered_residual_mae,mean_centered_residual_rmse,spatial_correlation_after_mean_removal,center_mean_error,middle_zone_mean_error,edge_mean_error,center_to_edge_difference_error,map_standard_deviation_error,map_range_error,worst_point_absolute_error,p95_point_absolute_error
2024-07-02_09,1,oracle_true_mean_zero_residual,0.13508454852427082,0.16424464400213515,4.3111581720275744e-15,0.135084548524272,0.16424464400213515,0.9990459377179944,0.07136058566032943,0.045831823353715606,0.037029544708630624,0.10839013036896006,0.053108012155053785,0.26029746835444456,0.4806991893045023,0.2830310880386704
2024-07-02_09,1,template,0.24446711705304955,0.2911404591089917,0.2403881524676422,0.135084548524272,0.16424464400213515,0.9990459377179944,0.16902756680730846,0.1945563291139223,0.2774176971762401,0.10839013036893164,0.053108012155053785,0.26029746835444456,0.7210873417721402,0.5105810126582297
2024-07-02_10,1,full_map,0.11745570673231226,0.14812832759107597,0.050644481864959755,0.1135645921005001,0.13920178839209962,0.9992280822241838,0.028351106141982996,0.04489872511702231,0.057596819758217066,0.02924571361623407,0.013481822511279162,0.1120697339153196,0.5260760158342705,0.26426875857076054
2024-07-02_10,1,mean_shift,0.11454505549879944,0.15093472787139375,0.05064448186496686,0.11485278389923226,0.14218448767091552,0.9993676430794023,0.029665916529445724,0.001441916127603804,0.09259088050615816,0.12225679703560388,0.06527625639230417,0.2556974683544482,0.4578605251020491,0.3175815377602844
2024-07-02_10,1,oracle_true_mean_pca_reconstruction,0.1044582735646183,0.12270119400935235,4.151485647137664e-15,0.1044582735646183,0.12270119400935235,0.9994083642210392,0.03423333487108948,0.015750903853316345,0.014406256187157851,0.04863959105824733,0.018012064800448258,0.1277916964415695,0.27627825853218013,0.20226533201566207
2024-07-02_10,1,oracle_true_mean_zero_residual,0.11485278389923226,0.14218448767091552,2.794269185573428e-15,0.11485278389923433,0.14218448767091552,0.9993676430794023,0.08031039839440979,0.05208639799257497,0.041946398641194094,0.12225679703560388,0.06527625639230417,0.2556974683544482,0.40721604323708505,0.26693705589532035
2024-07-02_10,1,template,0.2973862181766453,0.32790199266279885,0.29547129853505816,0.11485278389923329,0.14218448767091552,0.9993676430794023,0.2151609001406456,0.24338490054248751,0.33741769717623527,0.12225679703558967,0.06527625639230417,0.2556974683544482,0.7026873417721404,0.5391010126582343
2024-07-05_01,2,full_map,0.22157967943561357,0.27234594085515546,0.20047508943288608,0.11421598944133912,0.1843422089949997,0.9988950542180817,0.2487566246398032,0.18283732157125598,0.20161592949565232,0.04714069514415087,0.043140183746025684,0.28547233738597555,1.143803267239079,0.4096428425508802
2024-07-05_01,2,mean_shift,0.2103795889802311,0.3433568738053365,0.2004750894328797,0.21855262512179371,0.2787538005234237,0.9993707478306115,0.014772451704402556,0.0006389086944693645,0.34090808341598233,0.3261356317115798,0.24574134717742702,0.8178153846153577,1.2023505143824949,0.7513184631004008
2024-07-05_01,2,oracle_true_mean_pca_reconstruction,0.08526725543367783,0.10404611681498901,1.1975439366743261e-15,0.08526725543367783,0.10404611681498901,0.9996732930853431,0.03491278675324594,0.02629655180989232,0.008117084036499023,0.026795702716746916,0.03620483626494453,0.29237378248167545,0.29036606778063856,0.1830931137989253
2024-07-05_01,2,oracle_true_mean_zero_residual,0.21855262512179668,0.2787538005234237,5.34902958381199e-15,0.21855262512179371,0.2787538005234237,0.9993707478306115,0.1857026377284825,0.2011139981273402,0.1404329939831257,0.3261356317116082,0.24574134717742702,0.8178153846153577,1.0018754249496098,0.5508433736675158
2024-07-05_01,2,template,0.5909476519734955,0.6533933032096673,0.5909476519734955,0.21855262512179371,0.2787538005234237,0.9993707478306115,0.40524501424501835,0.38983365384616064,0.7313806459565981,0.3261356317115798,0.24574134717742702,0.8178153846153577,1.5928230769231106,1.1417910256410166
2024-07-05_02,2,full_map,0.10232660777983531,0.13554578749505028,0.08382104937895718,0.07828237022460363,0.10652085330424156,0.9995894946363328,0.0388138923253436,0.08264745813681884,0.09224268338400066,0.053428791058657055,0.01124427872010303,0.08599085991622957,0.3773943773866364,0.24873266426700835
2024-07-05_02,2,mean_shift,0.11267285197418447,0.16248199925787818,0.08382104937895095,0.11371663834208925,0.13919206789127242,0.9997604176288083,0.08135811768785572,0.011584160626398443,0.163781787527995,0.24513990521585072,0.11405423705262985,0.18741538461536322,0.4211857569560209,0.37456780823806485
2024-07-05_02,2,oracle_true_mean_pca_reconstruction,0.06510949014456506,0.08656539538498287,2.7144329231284725e-15,0.06510949014456506,0.08656539538498287,0.9997492292119208,0.06853449896455999,0.019290169035372173,0.02224875430135853,0.09078325326591852,0.025813874823402028,0.04116037479551693,0.2966852347240092,0.17550128453828062
2024-07-05_02,2,oracle_true_mean_zero_residual,0.11371663834208925,0.13919206789127242,3.672468072467934e-15,0.11371663834208773,0.13919206789127242,0.9997604176288083,0.16517916706681035,0.09540521000536017,0.07996073814904747,0.24513990521585782,0.1140542370526294,0.18741538461536322,0.33736470757706627,0.2907467588591102
2024-07-05_02,2,template,0.5882352924229329,0.6044792726105188,0.5882352924229329,0.11371663834208773,0.13919206789127242,0.9997604176288083,0.42305612535612624,0.4928300824175835,0.6681960305719699,0.2451399052158436,0.1140542370526294,0.18741538461536322,0.9256000000000029,0.8789820512820468
2024-07-05_03,2,full_map,0.0986289105646475,0.1454584499973038,0.09661792416142086,0.08833529259891836,0.10873425130268777,0.999717303352587,0.004460351972113585,0.03448863251283285,0.14602250715881837,0.14156215518670479,0.06627680310019768,0.28446093069654665,0.382093991295001,0.33426203756961986
