test_lot,mode,feedback,policy,budget,total_system_mae,unmeasured_wafer_mae,measured_fraction,high_error_capture,p95_system_error,cumulative_system_error,updates,update_runtime_seconds,drift_error_threshold,drift_onset_wafer_order,recovery_wafer_count,random_replicates
4,direct_substitution,F0,random,0.3,0.1753165900165472,0.25045227145221033,0.3,0.28,0.35779547450238347,1.7531659001654722,0.0,0.0,0.186147802036805,1.0,3.0,100
4,direct_substitution,F0,random,0.5,0.12408818491092591,0.24817636982185184,0.5,0.495,0.3322618309059609,1.2408818491092592,0.0,0.0,0.186147802036805,1.0,3.0,100
4,direct_substitution,F0,validated_combined,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,validated_combined,0.1,0.22335334567855608,0.24817038408728453,0.1,0.0,0.3823129588374182,2.233533456785561,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,validated_combined,0.2,0.21043870080542804,0.2630483760067851,0.2,0.0,0.3823129588374182,2.1043870080542804,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,validated_combined,0.3,0.18597535322812747,0.2656790760401821,0.3,0.0,0.3823129588374182,1.8597535322812748,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,validated_combined,0.5,0.11479697062771144,0.22959394125542287,0.5,0.5,0.3229675291781192,1.1479697062771144,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,combined,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,combined,0.1,0.22335334567855608,0.24817038408728453,0.1,0.0,0.3823129588374182,2.233533456785561,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,combined,0.2,0.19423744680408705,0.24279680850510882,0.2,0.0,0.3823129588374182,1.9423744680408705,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,combined,0.3,0.17197292094457484,0.24567560134939262,0.3,0.0,0.3823129588374182,1.7197292094457484,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,combined,0.5,0.14093766791301413,0.28187533582602825,0.5,0.0,0.3823129588374182,1.4093766791301412,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,disagreement,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
