mode,feedback,policy,budget,lot_macro_system_mae,lot_macro_unmeasured_mae,mean_measured_fraction,mean_high_error_capture,worst_lot_mae,mean_p95_system_error,cumulative_error,mean_updates,mean_update_runtime_seconds,mean_recovery_wafer_count
direct_substitution,F0,periodic,0.2,0.1387660438991974,0.17395518430865894,0.20555555555555555,0.07142857142857142,0.20372566780532503,0.3079375824068026,8.613254991130535,0.0,0.0,2.0
direct_substitution,F0,periodic,0.3,0.12426811943061893,0.17817430132710635,0.30238095238095236,0.14285714285714285,0.18896990254391657,0.3029859683555679,7.701662096996994,0.0,0.0,2.0
direct_substitution,F0,periodic,0.5,0.08396929385932542,0.16615081258831346,0.4920634920634921,0.42857142857142855,0.12888682311975647,0.2514576495003899,5.350066812652173,0.0,0.0,2.0
direct_substitution,F0,random,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,random,0.1,0.15479032839228787,0.17224859006910995,0.09682539682539683,0.07642857142857143,0.22420976497089168,0.32230595451563854,9.6032433117045,0.0,0.0,2.0
direct_substitution,F0,random,0.2,0.13563888133565039,0.169870631792926,0.20555555555555555,0.2292857142857143,0.1982819646966552,0.3016366993753658,8.455424346922815,0.0,0.0,2.0
direct_substitution,F0,random,0.3,0.11980246645457103,0.1720131035345526,0.3023809523809523,0.31428571428571433,0.1753165900165472,0.2884932717575338,7.419517266323331,0.0,0.0,2.0
direct_substitution,F0,random,0.5,0.08319771543490817,0.16474698501716006,0.4920634920634921,0.52,0.12408818491092591,0.2423396825300704,5.17572727229001,0.0,0.0,2.0
direct_substitution,F0,validated_combined,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,validated_combined,0.1,0.15186620167195133,0.16903270821277228,0.09682539682539683,0.07142857142857142,0.22335334567855608,0.3079375824068026,9.387224798166393,0.0,0.0,2.0
direct_substitution,F0,validated_combined,0.2,0.1289420568404179,0.16134771322540725,0.20555555555555555,0.35714285714285715,0.21043870080542804,0.2625310935765692,8.049790057277892,0.0,0.0,2.0
direct_substitution,F0,validated_combined,0.3,0.1223467644949429,0.1756300022122921,0.30238095238095236,0.14285714285714285,0.18635092056204092,0.28590551253999985,7.5093068719427505,0.0,0.0,2.0
direct_substitution,F0,validated_combined,0.5,0.07602574004300647,0.15023378899699194,0.4920634920634921,0.5,0.1285991814354049,0.2163195325354105,4.792970986955921,0.0,0.0,2.0
ranking_only,F0,combined,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,combined,0.1,0.1557740664983319,0.17329832184168134,0.09682539682539683,0.0,0.22335334567855608,0.3401358298846295,9.686440358291797,0.0,0.0,2.0
ranking_only,F0,combined,0.2,0.1399521921732703,0.17541791732803494,0.20555555555555555,0.07142857142857142,0.19423744680408705,0.3343450912289909,8.700196025665804,0.0,0.0,2.0
ranking_only,F0,combined,0.3,0.11349915584421309,0.1625038961962927,0.30238095238095236,0.2857142857142857,0.17280758013498576,0.2861524911764298,7.0701165428990596,0.0,0.0,2.0
ranking_only,F0,combined,0.5,0.0899700923512978,0.17833240508572562,0.4920634920634921,0.35714285714285715,0.14093766791301413,0.2849032930677197,5.595506213361705,0.0,0.0,2.0
ranking_only,F0,disagreement,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,disagreement,0.1,0.15795108275992412,0.175717228799006,0.09682539682539683,0.0,0.23253114343904085,0.3401358298846295,9.83883149660325,0.0,0.0,2.0
ranking_only,F0,disagreement,0.2,0.13455518318895995,0.16867165609764706,0.20555555555555555,0.07142857142857142,0.19423744680408705,0.3079375824068026,8.322405396764083,0.0,0.0,2.0
ranking_only,F0,disagreement,0.3,0.10966824041943923,0.1570311598751872,0.30238095238095236,0.2857142857142857,0.17280758013498576,0.25918587079734623,6.80195246316489,0.0,0.0,2.0
ranking_only,F0,disagreement,0.5,0.07652797347559381,0.15144816733431768,0.4920634920634921,0.5714285714285714,0.12311439415066643,0.23195278394297797,4.7382636422137825,0.0,0.0,2.0
ranking_only,F0,no_metrology,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,no_metrology,0.1,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,no_metrology,0.2,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,no_metrology,0.3,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,no_metrology,0.5,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,ood,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
